nohup: ignoring input
Using GPUs: [0, 1, 2, 3, 4]
Loaded checkpoint: /home/ofirg/cld_checkpoints/expr1/exp1_digits_20260127_135649.pt
Extending from 4000000 to 6000000 epochs (extra 2000000).
training starts for cuda:0...
training starts for cuda:1...
training starts for cuda:4...
training starts for cuda:2...
training starts for cuda:3...
device cuda:0 | epoch        1 | loss 0.6343 (lin: 0.5515) | train acc 0.500 (lin: 0.6000) | test acc 0.106 (lin: 0.0951)
device cuda:2 | epoch        1 | loss 0.5445 (lin: 0.5326) | train acc 0.500 (lin: 0.5000) | test acc 0.101 (lin: 0.0861)
device cuda:1 | epoch        1 | loss 0.6220 (lin: 0.3718) | train acc 0.400 (lin: 0.8000) | test acc 0.107 (lin: 0.0456)
device cuda:3 | epoch        1 | loss 0.5420 (lin: 0.4594) | train acc 0.300 (lin: 0.6000) | test acc 0.099 (lin: 0.0687)
device cuda:4 | epoch        1 | loss 0.5873 (lin: 0.5304) | train acc 0.500 (lin: 0.7000) | test acc 0.119 (lin: 0.0416)
device cuda:0 | epoch   120001 | loss 0.5363 (lin: 0.5332) | train acc 0.500 (lin: 0.6000) | test acc 0.101 (lin: 0.1052)
device cuda:2 | epoch   120001 | loss 0.6004 (lin: 0.5084) | train acc 0.500 (lin: 0.2000) | test acc 0.119 (lin: 0.0850)
device cuda:3 | epoch   120001 | loss 0.4934 (lin: 0.4663) | train acc 0.400 (lin: 0.5000) | test acc 0.102 (lin: 0.0703)
device cuda:1 | epoch   120001 | loss 0.5066 (lin: 0.4844) | train acc 0.700 (lin: 0.3000) | test acc 0.134 (lin: 0.0523)
device cuda:4 | epoch   120001 | loss 0.6651 (lin: 0.5035) | train acc 0.400 (lin: 0.2000) | test acc 0.100 (lin: 0.0445)
device cuda:2 | epoch   240001 | loss 0.6287 (lin: 0.5328) | train acc 0.500 (lin: 0.4000) | test acc 0.132 (lin: 0.0760)
device cuda:3 | epoch   240001 | loss 0.5073 (lin: 0.3659) | train acc 0.400 (lin: 0.7000) | test acc 0.123 (lin: 0.0597)
device cuda:0 | epoch   240001 | loss 0.4434 (lin: 0.4252) | train acc 0.500 (lin: 0.5000) | test acc 0.100 (lin: 0.1069)
device cuda:1 | epoch   240001 | loss 0.7627 (lin: 0.5589) | train acc 0.400 (lin: 0.4000) | test acc 0.136 (lin: 0.0461)
device cuda:4 | epoch   240001 | loss 0.5876 (lin: 0.4145) | train acc 0.400 (lin: 0.5000) | test acc 0.101 (lin: 0.0400)
device cuda:2 | epoch   360001 | loss 0.5375 (lin: 0.3950) | train acc 0.200 (lin: 0.3000) | test acc 0.116 (lin: 0.0810)
device cuda:3 | epoch   360001 | loss 0.5281 (lin: 0.5846) | train acc 0.700 (lin: 0.6000) | test acc 0.118 (lin: 0.0653)
device cuda:0 | epoch   360001 | loss 0.4274 (lin: 0.4542) | train acc 0.700 (lin: 0.2000) | test acc 0.119 (lin: 0.1109)
device cuda:1 | epoch   360001 | loss 0.4839 (lin: 0.5883) | train acc 0.700 (lin: 0.6000) | test acc 0.138 (lin: 0.0461)
device cuda:4 | epoch   360001 | loss 0.6191 (lin: 0.5375) | train acc 0.400 (lin: 0.5000) | test acc 0.112 (lin: 0.0422)
device cuda:2 | epoch   480001 | loss 0.4966 (lin: 0.4496) | train acc 0.400 (lin: 0.7000) | test acc 0.092 (lin: 0.0844)
device cuda:3 | epoch   480001 | loss 0.5903 (lin: 0.5151) | train acc 0.500 (lin: 0.4000) | test acc 0.121 (lin: 0.0658)
device cuda:0 | epoch   480001 | loss 0.5269 (lin: 0.3793) | train acc 0.400 (lin: 1.0000) | test acc 0.101 (lin: 0.1092)
device cuda:1 | epoch   480001 | loss 0.6970 (lin: 0.4244) | train acc 0.600 (lin: 0.5000) | test acc 0.129 (lin: 0.0411)
device cuda:4 | epoch   480001 | loss 0.5269 (lin: 0.5359) | train acc 0.400 (lin: 0.3000) | test acc 0.105 (lin: 0.0439)
device cuda:2 | epoch   600001 | loss 0.5616 (lin: 0.5871) | train acc 0.500 (lin: 0.4000) | test acc 0.107 (lin: 0.0850)
device cuda:3 | epoch   600001 | loss 0.5057 (lin: 0.4662) | train acc 0.800 (lin: 0.6000) | test acc 0.119 (lin: 0.0703)
device cuda:0 | epoch   600001 | loss 0.6468 (lin: 0.5878) | train acc 0.500 (lin: 0.3000) | test acc 0.102 (lin: 0.1109)
device cuda:1 | epoch   600001 | loss 0.7134 (lin: 0.3608) | train acc 0.400 (lin: 0.5000) | test acc 0.111 (lin: 0.0422)
device cuda:4 | epoch   600001 | loss 0.4809 (lin: 0.4567) | train acc 0.300 (lin: 0.3000) | test acc 0.095 (lin: 0.0394)
device cuda:2 | epoch   720001 | loss 0.6293 (lin: 0.5156) | train acc 0.200 (lin: 0.4000) | test acc 0.099 (lin: 0.0833)
device cuda:3 | epoch   720001 | loss 0.4968 (lin: 0.3977) | train acc 0.600 (lin: 0.3000) | test acc 0.118 (lin: 0.0726)
device cuda:0 | epoch   720001 | loss 0.5978 (lin: 0.5235) | train acc 0.500 (lin: 0.7000) | test acc 0.107 (lin: 0.1154)
device cuda:1 | epoch   720001 | loss 0.5754 (lin: 0.4286) | train acc 0.500 (lin: 0.6000) | test acc 0.100 (lin: 0.0450)
device cuda:4 | epoch   720001 | loss 0.6501 (lin: 0.5152) | train acc 0.300 (lin: 0.8000) | test acc 0.092 (lin: 0.0450)
device cuda:2 | epoch   840001 | loss 0.4588 (lin: 0.4486) | train acc 0.400 (lin: 0.6000) | test acc 0.104 (lin: 0.0855)
device cuda:3 | epoch   840001 | loss 0.5581 (lin: 0.4842) | train acc 0.300 (lin: 0.7000) | test acc 0.099 (lin: 0.0771)
device cuda:0 | epoch   840001 | loss 0.4946 (lin: 0.5877) | train acc 0.400 (lin: 0.5000) | test acc 0.103 (lin: 0.1047)
device cuda:1 | epoch   840001 | loss 0.5582 (lin: 0.5093) | train acc 0.200 (lin: 0.3000) | test acc 0.120 (lin: 0.0473)
device cuda:4 | epoch   840001 | loss 0.6629 (lin: 0.5519) | train acc 0.300 (lin: 0.6000) | test acc 0.093 (lin: 0.0433)
device cuda:2 | epoch   960001 | loss 0.6938 (lin: 0.5755) | train acc 0.500 (lin: 0.3000) | test acc 0.102 (lin: 0.0895)
device cuda:3 | epoch   960001 | loss 0.4792 (lin: 0.4845) | train acc 0.400 (lin: 0.5000) | test acc 0.115 (lin: 0.0793)
device cuda:0 | epoch   960001 | loss 0.5468 (lin: 0.5363) | train acc 0.300 (lin: 0.7000) | test acc 0.108 (lin: 0.1013)
device cuda:1 | epoch   960001 | loss 0.6118 (lin: 0.4450) | train acc 0.800 (lin: 0.5000) | test acc 0.115 (lin: 0.0450)
device cuda:4 | epoch   960001 | loss 0.5402 (lin: 0.5006) | train acc 0.700 (lin: 0.5000) | test acc 0.116 (lin: 0.0439)
device cuda:2 | epoch  1080001 | loss 0.4893 (lin: 0.4079) | train acc 0.400 (lin: 0.6000) | test acc 0.100 (lin: 0.0929)
device cuda:3 | epoch  1080001 | loss 0.5565 (lin: 0.5014) | train acc 0.300 (lin: 0.6000) | test acc 0.104 (lin: 0.0777)
device cuda:0 | epoch  1080001 | loss 0.4906 (lin: 0.4673) | train acc 0.500 (lin: 0.5000) | test acc 0.110 (lin: 0.0929)
device cuda:1 | epoch  1080001 | loss 0.7221 (lin: 0.4072) | train acc 0.400 (lin: 0.1000) | test acc 0.114 (lin: 0.0478)
device cuda:4 | epoch  1080001 | loss 0.6281 (lin: 0.4563) | train acc 0.300 (lin: 0.6000) | test acc 0.133 (lin: 0.0450)
device cuda:2 | epoch  1200001 | loss 0.5070 (lin: 0.4439) | train acc 0.500 (lin: 0.6000) | test acc 0.080 (lin: 0.0934)
device cuda:3 | epoch  1200001 | loss 0.6239 (lin: 0.5933) | train acc 0.400 (lin: 0.3000) | test acc 0.101 (lin: 0.0799)
device cuda:0 | epoch  1200001 | loss 0.5341 (lin: 0.4194) | train acc 0.400 (lin: 0.6000) | test acc 0.134 (lin: 0.0945)
device cuda:1 | epoch  1200001 | loss 0.6706 (lin: 0.4889) | train acc 0.400 (lin: 0.3000) | test acc 0.106 (lin: 0.0439)
device cuda:4 | epoch  1200001 | loss 0.4753 (lin: 0.5035) | train acc 0.400 (lin: 0.8000) | test acc 0.133 (lin: 0.0433)
device cuda:2 | epoch  1320001 | loss 0.5673 (lin: 0.4231) | train acc 0.400 (lin: 0.6000) | test acc 0.074 (lin: 0.1002)
device cuda:3 | epoch  1320001 | loss 0.6398 (lin: 0.5072) | train acc 0.400 (lin: 0.6000) | test acc 0.102 (lin: 0.0782)
device cuda:0 | epoch  1320001 | loss 0.5134 (lin: 0.5617) | train acc 0.300 (lin: 0.4000) | test acc 0.123 (lin: 0.0934)
device cuda:1 | epoch  1320001 | loss 0.3993 (lin: 0.3682) | train acc 0.300 (lin: 0.6000) | test acc 0.111 (lin: 0.0523)
device cuda:4 | epoch  1320001 | loss 0.6657 (lin: 0.5569) | train acc 0.500 (lin: 0.4000) | test acc 0.111 (lin: 0.0490)
device cuda:2 | epoch  1440001 | loss 0.7778 (lin: 0.4714) | train acc 0.400 (lin: 0.5000) | test acc 0.078 (lin: 0.0974)
device cuda:3 | epoch  1440001 | loss 0.6645 (lin: 0.4913) | train acc 0.200 (lin: 0.6000) | test acc 0.130 (lin: 0.0777)
